# NodeID X Y Z
404 0.075000 0.100000 0.400000
405 0.100000 0.000000 0.325000
406 0.100000 0.025000 0.325000
407 0.100000 0.000000 0.350000
408 0.100000 0.025000 0.350000
409 0.100000 0.000000 0.375000
410 0.100000 0.025000 0.375000
411 0.100000 0.000000 0.400000
412 0.100000 0.025000 0.400000
413 0.100000 0.050000 0.325000
414 0.100000 0.050000 0.350000
415 0.100000 0.050000 0.375000
416 0.100000 0.050000 0.400000
417 0.100000 0.075000 0.325000
418 0.100000 0.075000 0.350000
419 0.100000 0.075000 0.375000
420 0.100000 0.075000 0.400000
421 0.100000 0.100000 0.325000
422 0.100000 0.100000 0.350000
423 0.100000 0.100000 0.375000
424 0.100000 0.100000 0.400000
425 0.000000 0.000000 0.425000
426 0.025000 0.000000 0.425000
427 0.025000 0.025000 0.425000
428 0.000000 0.025000 0.425000
429 0.000000 0.000000 0.450000
430 0.025000 0.000000 0.450000
431 0.025000 0.025000 0.450000
432 0.000000 0.025000 0.450000
433 0.000000 0.000000 0.475000
434 0.025000 0.000000 0.475000
435 0.025000 0.025000 0.475000
436 0.000000 0.025000 0.475000
437 0.000000 0.000000 0.500000
438 0.025000 0.000000 0.500000
439 0.025000 0.025000 0.500000
440 0.000000 0.025000 0.500000
441 0.025000 0.050000 0.425000
442 0.000000 0.050000 0.425000
443 0.025000 0.050000 0.450000
444 0.000000 0.050000 0.450000
445 0.025000 0.050000 0.475000
446 0.000000 0.050000 0.475000
447 0.025000 0.050000 0.500000
448 0.000000 0.050000 0.500000
449 0.025000 0.075000 0.425000
450 0.000000 0.075000 0.425000
451 0.025000 0.075000 0.450000
452 0.000000 0.075000 0.450000
453 0.025000 0.075000 0.475000
454 0.000000 0.075000 0.475000
455 0.025000 0.075000 0.500000
456 0.000000 0.075000 0.500000
457 0.025000 0.100000 0.425000
458 0.000000 0.100000 0.425000
459 0.025000 0.100000 0.450000
460 0.000000 0.100000 0.450000
461 0.025000 0.100000 0.475000
462 0.000000 0.100000 0.475000
463 0.025000 0.100000 0.500000
464 0.000000 0.100000 0.500000
465 0.050000 0.000000 0.425000
466 0.050000 0.025000 0.425000
467 0.050000 0.000000 0.450000
468 0.050000 0.025000 0.450000
469 0.050000 0.000000 0.475000
470 0.050000 0.025000 0.475000
471 0.050000 0.000000 0.500000
472 0.050000 0.025000 0.500000
473 0.050000 0.050000 0.425000
474 0.050000 0.050000 0.450000
475 0.050000 0.050000 0.475000
476 0.050000 0.050000 0.500000
477 0.050000 0.075000 0.425000
478 0.050000 0.075000 0.450000
479 0.050000 0.075000 0.475000
480 0.050000 0.075000 0.500000
481 0.050000 0.100000 0.425000
482 0.050000 0.100000 0.450000
483 0.050000 0.100000 0.475000
484 0.050000 0.100000 0.500000
485 0.075000 0.000000 0.425000
486 0.075000 0.025000 0.425000
487 0.075000 0.000000 0.450000
488 0.075000 0.025000 0.450000
489 0.075000 0.000000 0.475000
490 0.075000 0.025000 0.475000
491 0.075000 0.000000 0.500000
492 0.075000 0.025000 0.500000
493 0.075000 0.050000 0.425000
494 0.075000 0.050000 0.450000
495 0.075000 0.050000 0.475000
496 0.075000 0.050000 0.500000
497 0.075000 0.075000 0.425000
498 0.075000 0.075000 0.450000
499 0.075000 0.075000 0.475000
500 0.075000 0.075000 0.500000
501 0.075000 0.100000 0.425000
502 0.075000 0.100000 0.450000
503 0.075000 0.100000 0.475000
504 0.075000 0.100000 0.500000
505 0.100000 0.000000 0.425000
506 0.100000 0.025000 0.425000
507 0.100000 0.000000 0.450000
508 0.100000 0.025000 0.450000
509 0.100000 0.000000 0.475000
510 0.100000 0.025000 0.475000
